,Senior Citizen,Partner,Dependents,Tenure,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Cluster
82,No,Yes,No,7,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,Orange
95,No,No,No,12,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,Orange
97,No,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,Green
99,Yes,Yes,No,25,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,Purple
104,No,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,Purple
110,No,Yes,No,55,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,Purple
113,Yes,Yes,No,37,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,Purple
117,No,Yes,Yes,10,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,Orange
122,No,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Orange
126,Yes,No,No,27,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,Orange
131,No,Yes,Yes,25,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,Green
133,No,No,No,1,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Green
134,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,Green
139,Yes,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Orange
141,No,No,No,8,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,Orange
147,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Green
151,No,No,No,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,Orange
161,No,Yes,No,20,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,Orange
166,No,No,No,4,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,Orange
168,Yes,Yes,No,58,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,Green
171,No,Yes,No,2,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,Orange
173,No,Yes,No,53,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,Purple
176,Yes,No,No,15,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,Orange
177,Yes,No,No,7,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,Orange
180,No,No,No,1,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,Green
182,No,No,No,8,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,Orange
184,No,No,No,13,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,Orange
185,No,Yes,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,Green
191,No,Yes,No,6,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,Orange
207,No,No,No,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,Orange
208,No,No,No,19,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,Orange
210,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,Green
220,No,No,No,4,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,Orange
223,No,Yes,No,4,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,Green
227,No,Yes,No,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,Green
232,No,No,No,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,Orange
235,No,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,Green
238,Yes,No,No,11,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,Orange
247,Yes,No,No,15,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Orange
248,No,No,No,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,Green
251,No,Yes,Yes,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,Orange
252,Yes,Yes,No,1,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,Green
258,No,Yes,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,Green
260,Yes,No,No,3,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,Green
261,Yes,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,Orange
268,No,No,No,59,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,Green
270,Yes,No,No,16,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,Orange
272,No,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,Green
274,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,Orange
275,No,Yes,No,5,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,Orange
276,No,Yes,No,52,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,Purple
284,No,Yes,Yes,18,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,Orange
287,No,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,Orange
288,Yes,No,No,8,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,Orange
289,No,No,No,10,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,Green
290,Yes,No,No,24,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,Orange
299,No,No,Yes,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,Orange
301,Yes,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Orange
306,Yes,Yes,No,32,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,Orange
314,No,No,No,5,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,Orange
317,No,Yes,Yes,38,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,Purple
318,Yes,Yes,No,24,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,Orange
320,Yes,No,No,54,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,Purple
327,Yes,No,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,Orange
333,No,No,No,7,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,Orange
334,No,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,Orange
335,No,Yes,Yes,68,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,Purple
336,No,No,No,43,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,Purple
339,No,Yes,No,63,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,Purple
346,No,No,No,2,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,Orange
353,No,Yes,Yes,4,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,Orange
354,Yes,No,No,21,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,Green
355,No,No,No,10,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,Orange
358,Yes,Yes,No,27,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,Green
365,No,No,No,5,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,Orange
371,No,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,Orange
377,No,Yes,No,25,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,Purple
381,No,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,Green
383,No,No,No,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,Orange
385,Yes,Yes,No,11,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,Green
386,Yes,Yes,No,55,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,Purple
397,No,No,No,34,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,Purple
402,No,Yes,Yes,69,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,Purple
408,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,Green
409,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,Green
410,Yes,No,No,3,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,Orange
418,No,Yes,Yes,22,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,Orange
419,Yes,No,No,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,Orange
430,No,Yes,Yes,61,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,Green
433,No,No,No,12,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,Green
445,No,No,No,60,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,Purple
446,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,Orange
453,No,Yes,Yes,28,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,Orange
462,No,Yes,Yes,4,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,Orange
463,No,No,No,7,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,Orange
469,No,Yes,Yes,13,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,Green
471,No,No,No,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,Green
474,No,Yes,Yes,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,Orange
475,No,No,No,24,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,Orange
478,No,No,No,5,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,Orange
479,No,No,Yes,15,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,Orange
481,No,Yes,No,48,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,Green
484,No,Yes,Yes,8,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,Orange
489,No,No,Yes,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,Orange
492,No,Yes,No,2,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Orange
495,No,No,No,22,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,Green
498,Yes,No,No,5,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.45,Green
499,No,No,No,12,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,Orange
505,Yes,No,No,20,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,Orange
507,No,Yes,No,2,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,Orange
508,No,Yes,Yes,6,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,Orange
512,Yes,Yes,No,5,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,Orange
515,No,No,No,40,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,Purple
518,Yes,Yes,No,27,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,Orange
523,No,No,No,23,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,Orange
524,No,Yes,No,34,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,Purple
534,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,Orange
543,No,No,No,10,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,Orange
544,No,No,No,13,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.55,Green
546,No,Yes,Yes,39,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,86.3,Purple
554,No,No,No,32,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,Purple
568,No,No,No,35,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,Purple
573,No,Yes,No,56,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),100.3,Purple
580,No,Yes,Yes,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,Green
581,No,No,No,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,Orange
582,Yes,No,No,4,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,Orange
585,Yes,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,Orange
595,No,No,No,12,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,Orange
609,Yes,Yes,No,65,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.25,Purple
610,No,Yes,Yes,9,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,Green
611,No,Yes,Yes,9,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,65.0,Orange
624,No,No,No,7,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,Green
629,Yes,Yes,No,49,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.05,Purple
630,Yes,Yes,Yes,43,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,Purple
635,No,Yes,Yes,65,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,Purple
638,Yes,Yes,Yes,56,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.55,Purple
639,No,Yes,No,10,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,Orange
641,No,Yes,Yes,43,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,56.15,Green
642,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,Orange
645,Yes,Yes,No,20,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,Orange
646,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,Green
648,Yes,No,No,2,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.5,Orange
650,No,No,No,3,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,Orange
651,No,No,No,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.6,Orange
654,Yes,No,No,8,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.65,Green
658,No,Yes,Yes,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,Green
660,No,No,No,4,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.25,Green
666,No,No,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,Orange
668,No,No,No,4,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,Green
672,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.05,Orange
674,Yes,No,No,52,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.15,Green
677,No,No,No,2,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,Green
680,No,Yes,Yes,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,Orange
687,Yes,No,No,2,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,Green
693,No,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.1,Orange
697,No,Yes,Yes,3,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.15,Green
705,No,No,No,25,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.85,Orange
710,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,Green
722,No,Yes,Yes,4,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,Orange
723,No,No,No,3,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,Green
724,Yes,Yes,No,33,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,Purple
728,Yes,No,No,30,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),91.7,Purple
730,No,No,No,45,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,Purple
742,No,No,No,10,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,Orange
755,Yes,No,No,20,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.55,Orange
758,No,No,Yes,15,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.9,Orange
761,No,No,No,22,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,Orange
762,No,Yes,No,3,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,Orange
771,No,No,No,15,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,Orange
772,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,Green
773,No,Yes,No,5,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,88.9,Orange
774,No,Yes,No,33,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8,Purple
777,No,No,No,2,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,Orange
779,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,Green
783,No,No,No,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,Green
785,Yes,No,No,46,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,Purple
799,No,No,No,62,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,Purple
801,No,No,No,10,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,Orange
804,No,No,No,6,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,Orange
808,No,Yes,No,40,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,Purple
809,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,Orange
810,No,No,No,58,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,Purple
811,No,No,No,70,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,Purple
816,No,No,No,2,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,Orange
818,No,Yes,No,21,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,Purple
825,No,Yes,Yes,16,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.45,Orange
826,Yes,Yes,No,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,Orange
828,No,Yes,Yes,60,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.95,Purple
830,No,Yes,No,50,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,Purple
834,Yes,No,No,4,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.85,Orange
837,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,Green
840,Yes,No,No,55,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,Purple
842,No,Yes,Yes,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,Green
844,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,Orange
855,No,No,Yes,62,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.15,Purple
857,No,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,Green
862,Yes,Yes,No,20,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,Orange
863,No,No,No,3,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,Orange
864,No,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,Orange
865,No,Yes,No,4,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,Orange
868,No,Yes,No,59,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,Purple
